District,Republican,Democrat,Projected Margin,Republican Odds,Democratic Odds,Rating
AL-01,Republican Nominee,Clyde Jones Jr.,R+31.0,100.00%,0.00%,Safe R
AL-02,Republican Nominee,Shomari Figures*,R+4.4,73.66%,26.34%,Lean R
AL-03,Mike Rogers*,Lee McInnis,R+40.6,100.00%,0.00%,Safe R
AL-04,Robert Aderholt*,Amanda Pusczek,R+57.8,100.00%,0.00%,Safe R
AL-05,Dale Strong*,Democratic Nominee,R+25.0,99.98%,0.02%,Safe R
AL-06,Republican Nominee,Democratic Nominee,R+27.8,100.00%,0.00%,Safe R
AL-07,Republican Nominee,Terri Sewell*,D+25.5,0.01%,99.99%,Safe D
AK-01,Republican Nominee,Democratic Nominee,R+7.8,86.68%,13.32%,Likely R
AZ-01,Republican Nominee,Democratic Nominee,D+3.0,33.26%,66.74%,Lean D
AZ-02,Eli Crane*,Jonathan Nez,R+3.7,70.29%,29.71%,Lean R
AZ-03,Republican Nominee,Yassamin Ansari*,D+49.7,0.00%,100.00%,Safe D
AZ-04,Zuhdi Jasser,Democratic Nominee,D+16.4,0.96%,99.04%,Safe D
AZ-05,Republican Nominee,Democratic Nominee,R+13.8,97.57%,2.43%,Likely R
AZ-06,Juan Ciscomani*,JoAnna Mendoza,D+4.0,28.63%,71.37%,Lean D
AZ-07,Daniel Butierez,Adelita Grijalva*,D+32.4,0.00%,100.00%,Safe D
AZ-08,Abraham Hamadeh*,Democratic Nominee,R+9.2,90.49%,9.51%,Likely R
AZ-09,Paul Gosar*,Dani Sterbinsky,R+23.7,99.96%,0.04%,Safe R
AR-01,Rick Crawford*,Terri Green,R+41.2,100.00%,0.00%,Safe R
AR-02,French Hill*,Chris Jones,R+11.9,95.49%,4.51%,Likely R
AR-03,Steve Womack*,Robb Ryerse,R+24.1,99.97%,0.03%,Safe R
AR-04,Bruce Westerman*,James Russell,R+36.1,100.00%,0.00%,Safe R
CA-01,James Gallagher*,Mike McGuire,D+17.1,0.72%,99.28%,Safe D
CA-02,Robin Littau,Jared Huffman*,D+31.7,0.00%,100.00%,Safe D
CA-03,Robb Tucker,Ami Bera*,D+16.6,0.88%,99.12%,Safe D
CA-04,N/A,Mike Thompson*/Eric Jones,D+23.0,0.05%,99.95%,Safe D
CA-05,Tom McClintock*,Michael Masuda,R+18.5,99.60%,0.40%,Safe R
CA-06,N/A,Richard Pan,D+13.6,2.58%,97.42%,Likely D
CA-07,N/A,Doris Matsui/Mai Vang,D+22.8,0.06%,99.94%,Safe D
CA-08,Rudy Recile,John Garamendi*,D+43.2,0.00%,100.00%,Safe D
CA-09,John McBride,Josh Harder*,D+24.3,0.03%,99.97%,Safe D
CA-10,Jeff Frese,Mark DeSaulnier*,D+40.6,0.00%,100.00%,Safe D
CA-11,N/A,Scott Weiner/Connie Chan,D+69.8,0.00%,100.00%,Safe D
