id,rating,dem_candidate,dem_win_chance,rep_candidate,rep_win_chance,other_candidate,projected_margin,tooltip_title,tooltip_html
Alabama,Safe R,Everett Wess,0.0003937620567,Barry Moore,0.9996062379,,R+23.5,Alabama,<strong>Safe R</strong><br><br><strong>Democratic:</strong> Everett Wess<br><strong>Republican:</strong> Barry Moore<br><br><strong>Projected margin:</strong> R+23.5<strong><br><br>Chance of victory:<br></strong> Republican 99.96% / Democrat 0.04%
Alaska,Toss-up,Mary Peltola,0.4403823076,Dan Sullivan*,0.5596176924,,R+1.1,Alaska,<strong>Toss-up</strong><br><br><strong>Democratic:</strong> Mary Peltola<br><strong>Republican:</strong> Dan Sullivan*<br><br><strong>Projected margin:</strong> R+1.1<strong><br><br>Chance of victory:<br></strong> Republican 55.96% / Democrat 44.04%
Arkansas,Safe R,Hallie Shoffner,0.00008351291303,Tom Cotton*,0.9999164871,Jeff Wadlin (Libertarian),R+26.4,Arkansas,<strong>Safe R</strong><br><br><strong>Democratic:</strong> Hallie Shoffner<br><strong>Republican:</strong> Tom Cotton*<br><strong>Other:</strong> Jeff Wadlin (Libertarian)<br><br><strong>Projected margin:</strong> R+26.4<strong><br><br>Chance of victory:<br></strong> Republican 99.99% / Democrat 0.01%
Colorado,Safe D,John Hickenlooper*,0.9975119079,Republican Nominee,0.002488092105,,D+19.7,Colorado,<strong>Safe D</strong><br><br><strong>Democratic:</strong> John Hickenlooper*<br><strong>Republican:</strong> Republican Nominee<br><br><strong>Projected margin:</strong> D+19.7<strong><br><br>Chance of victory:<br></strong> Republican 0.25% / Democrat 99.75%
Delaware,Safe D,Chris Coons*,0.9999095462,Republican Nominee,0.00009045384905,,D+26.2,Delaware,<strong>Safe D</strong><br><br><strong>Democratic:</strong> Chris Coons*<br><strong>Republican:</strong> Republican Nominee<br><br><strong>Projected margin:</strong> D+26.2<strong><br><br>Chance of victory:<br></strong> Republican 0.01% / Democrat 99.99%
Florida,Likely R,Democratic Nominee,0.08097076958,Ashley Moody*,0.9190292304,,R+9.8,Florida,<strong>Likely R</strong><br><br><strong>Democratic:</strong> Democratic Nominee<br><strong>Republican:</strong> Ashley Moody*<br><br><strong>Projected margin:</strong> R+9.8<strong><br><br>Chance of victory:<br></strong> Republican 91.90% / Democrat 8.10%
Georgia,Likely D,Jon Ossoff*,0.877845878,Mike Collins,0.122154122,,D+8.2,Georgia,<strong>Likely D</strong><br><br><strong>Democratic:</strong> Jon Ossoff*<br><strong>Republican:</strong> Mike Collins<br><br><strong>Projected margin:</strong> D+8.2<strong><br><br>Chance of victory:<br></strong> Republican 12.22% / Democrat 87.78%
Idaho,Safe R,David Roth,0.00000009662589762,Jim Risch*,0.9999999034,,R+36.4,Idaho,<strong>Safe R</strong><br><br><strong>Democratic:</strong> David Roth<br><strong>Republican:</strong> Jim Risch*<br><br><strong>Projected margin:</strong> R+36.4<strong><br><br>Chance of victory:<br></strong> Republican 100.00% / Democrat 0.00%
Illinois,Safe D,Juliana Stratton,0.997522925,Don Tracy,0.002477074999,,D+19.7,Illinois,<strong>Safe D</strong><br><br><strong>Democratic:</strong> Juliana Stratton<br><strong>Republican:</strong> Don Tracy<br><br><strong>Projected margin:</strong> D+19.7<strong><br><br>Chance of victory:<br></strong> Republican 0.25% / Democrat 99.75%
Iowa,Lean R,Josh Turek,0.2482522305,Ashley Hinson,0.7517477695,Thomas Laehn (Libertarian),R+4.8,Iowa,<strong>Lean R</strong><br><br><strong>Democratic:</strong> Josh Turek<br><strong>Republican:</strong> Ashley Hinson<br><strong>Other:</strong> Thomas Laehn (Libertarian)<br><br><strong>Projected margin:</strong> R+4.8<strong><br><br>Chance of victory:<br></strong> Republican 75.17% / Democrat 24.83%
